ID_DN,CITY,ENT_TYPE,AGE,LEGAL_GENDER,CAPITAL_AMOUNT,TOTAL_OF_LABORS,MA_NGANH,TienTT_2015,ThuNH_2015,HangTon_2015,TSCoDinh_2015,NoNgan_2015,NoDai_2015,VonCSH_2015,DTThuan_2015,GiaVon_2015,DThuTC_2015,LNThuan_2015,TongLN_2015,LNsauthue_2015,TienTT_2016,ThuNH_2016,HangTon_2016,TSCoDinh_2016,NoNgan_2016,NoDai_2016,VonCSH_2016,DTThuan_2016,GiaVon_2016,DThuTC_2016,LNThuan_2016,TongLN_2016,LNsauthue_2016,TienTT_2017,ThuNH_2017,HangTon_2017,TSCoDinh_2017,NoNgan_2017,NoDai_2017,VonCSH_2017,DTThuan_2017,GiaVon_2017,DThuTC_2017,LNThuan_2017,TongLN_2017,LNsauthue_2017,TienTT_2018,ThuNH_2018,HangTon_2018,TSCoDinh_2018,NoNgan_2018,NoDai_2018,VonCSH_2018,DTThuan_2018,GiaVon_2018,DThuTC_2018,LNThuan_2018,TongLN_2018,LNsauthue_2018,Status
ACT2535,0.624625,SC,19.57534247,Female,36000000000,50,68,422459100,10106927400,5937298800,9703969800,20884606800,1,6953170400,18798174900,11962596100,149587200,501403200,-99912400,-99912400,392428100,17170104700,1655965400,8578264300,4052381900,1,24846138400,38558295400,32591636900,18760400,248918700,-176670400,-176670400,3574686041,2934445196,1619413741,8156943151,28668905927,1,34524077172,3834579225,4330338845,11842256,-2226256386,-2034440677,-2034440677,1136158847,2271321186,1618177720,7744928372,28926577789,1,38832850290,10721008041,3961619270,3093642,4862782905,4862782905,4308773118,ACT
ACT0364,0.624625,SC,14.47123288,Male,5000000000,100,71,1709996200,22058784800,7688405800,1677671200,26828171600,279181800,6331932900,30850172300,28701134200,12801500,-2046406600,847519200,298759200,2471850200,11644250000,7329164400,1497240000,15940993900,463577100,6540644000,16713265800,15092994100,18525700,640776200,648078600,518462900,2892628737,16177966252,8251975536,1332187793,22129729956,263909000,6357719569,26576144221,24391437299,93847165,276941258,252352221,196691242,3347424294,14533378079,6785398668,1974041490,20414860646,1,6263989711,28452110440,25938319457,63037377,60102918,55974596,43924012,ACT
ACT1689,0.624625,SC,15.19178082,Male,6400000000,300,23,2299011000,7595245400,6538453200,1082474900,4646700200,1300000,12867184400,32969749600,25938857900,10155500,-211174000,-211174000,-211174000,7954062500,7163869100,6312930900,534731300,4742030700,1,17223563300,34589010500,23105165400,70566900,5356316500,5392680100,4356378900,6660567201,5850100504,9592173528,447155237,5773379367,1,16776617103,33202275299,22466409105,229786132,5175019592,5175019592,4140015674,2306497477,9796735161,6148970002,495239448,3833275157,1,14914166931,24842424337,18665696795,64163225,1650249123,1650249123,1320199298,ACT
ACT2928,0.624625,SC,9.336986301,Male,7.97E+11,717,42,2.80E+12,6.11E+12,4.03E+11,3.10E+11,8.90E+12,1.01E+12,8.38E+11,4.96E+12,4.61E+12,1.70E+11,60598666800,61446430600,61294649900,2.43E+12,7.14E+12,4.00E+11,2.03E+11,9.63E+12,8.06E+11,8.87E+11,7.38E+12,7.05E+12,2.22E+11,54903537800,67438301100,64312824900,2.59E+12,3.63E+12,6.75E+11,1.71E+11,6.48E+12,6.31E+11,9.23E+11,1.58E+13,1.52E+13,2.35E+11,75998792556,80945373159,80049428421,1.67E+12,4.08E+12,7.04E+11,1.47E+11,6.26E+12,4.28E+11,9.02E+11,1.01E+13,9.75E+12,2.04E+11,50570099386,55395046471,44695749808,ACT
ACT0607,0.624625,SC,18.89315068,Female,3.40E+11,50,52,26913553000,2.10E+11,16514246400,66935373000,1.56E+11,16737318700,4.25E+11,2.27E+11,2.19E+11,2349405700,-4076757300,-5915186200,-5915186200,17585139900,1.44E+11,104451300,1.59E+11,1.85E+11,57516138500,4.29E+11,2.89E+11,2.78E+11,23440643400,3799881300,3985734000,3985734000,12850084605,1.43E+11,90920640,1.44E+11,1.34E+11,57355603249,4.30E+11,2.87E+11,2.65E+11,26361187465,2583693891,1869336070,1036284990,29412593795,1.77E+11,27646171,1.48E+11,1.47E+11,53880539294,4.38E+11,3.67E+11,3.44E+11,17022843139,8069651435,8340657815,8340657815,ACT
ACT0255,0.624625,SC,13.51232877,Male,56500010000,28,49,35028292100,4616236300,44309500,11137287500,3716617500,4640941600,48859131000,46347070400,45210694200,1718117300,726921200,1002023500,894936800,954154000,5736336200,1,11645398000,7438745000,2944659700,49209041500,39086460900,33879714200,2401408800,634414000,683215000,619910500,1149177247,3735691963,898284083,28197365023,3977510427,1469700021,49548858648,24886461049,19149214237,1411987996,1143270615,1084019039,963056492,3083881275,16861651324,1,25612480064,795970972,892357469,49979257268,25587892325,19781492120,105645536,1207843690,1605829447,1375398620,ACT
ACT2090,0.624625,SC,14.42465753,Male,28136140000,65,32,49926618000,23603309100,8118630200,10379402700,59794012300,1,35350768900,2.65E+11,2.47E+11,1106057500,-1501574700,3682591500,2855537800,66690209000,58779651100,9983684700,9602477200,1.12E+11,1,35350768900,2.69E+11,2.53E+11,1449343600,-2480595400,3561691500,2845824000,19578838173,70386311529,60421976193,8918509904,1.31E+11,1,35350768971,1.34E+11,1.19E+11,832431174,-2492855709,3653592577,2909604025,88906172755,1.32E+11,43475420723,8275558401,2.33E+11,5717921699,35400768971,5.93E+11,5.65E+11,249485464,3735645040,3748237151,2998894915,ACT
ACT1138,0.624625,SC,13.79178082,Male,21704000000,10,20,693017300,17901233300,11773134500,6550389000,22313552400,4708288000,12015837200,27526277400,21701173500,173923800,130036200,134930300,134930300,1314184500,22920870000,14497212900,6706793500,31032924900,4708288000,12217020400,27689342600,21666432200,1640600,201183100,201183100,201183100,212587643,23954700667,17088882222,9790136715,40670864112,1,12383506377,35082839339,27779066051,45016865,166485940,166485940,166485940,63151473,21356595437,19982384594,9862357728,32106932542,1,21787375175,29927446237,22466112222,52751768,274139849,133868798,133868798,ACT
ACT0348,0.624625,SC,9.054794521,Male,65000000000,80,41,2258388400,20981881400,78038032100,36682544200,89101738700,14421161300,46155760100,33346587300,26545258700,14477900,2270078100,2294072300,1789376400,2081228400,29519742000,97821132200,35005362000,1.25E+11,3329459500,46630580900,1.02E+11,91350804000,17831500,2047154400,7280972900,5781593300,5447104612,60210390873,46385091796,25594257430,74305386887,58211955651,46061376539,1.35E+11,1.13E+11,11093727,4120735826,4036536162,3212388997,3479848602,72579000841,89671305304,24468813424,68245485818,1.13E+11,69110293205,39647522148,31831235952,230293627,3611786731,3859171404,3009406732,ACT
ACT0264,0.624625,LLC2,24.90136986,Male,27800000000,98,55,183450600,9959029600,144089900,91750079700,1.10E+11,1839365600,28794433400,23814701600,16164579900,915900,801054400,-99425900,-195805300,1402717900,7150771900,405830800,96890697100,1.15E+11,332054700,28210208400,17319940100,6917458100,939400,735481200,-333849200,-455121700,298538290,6132810925,316080629,93149982648,1.06E+11,1,26700424936,16834592868,7015411271,839342,574728990,-1392125072,-1509779770,161054784,4580019684,452110827,93333158062,1.04E+11,1,25800515753,15632378846,6417127686,802219,483796527,-803149764,-899909274,ACT
ACT2018,0.624625,LLC1,26.21643836,Female,1800000000,20,14,972510500,31874000,787527100,255896100,224784700,1,1916341800,1153847300,758920000,54800,7350200,7350200,5880200,1093619300,1,744702200,152103800,73206700,1,1917218700,1172107000,823460600,55100,1096100,1096100,876900,1809398959,1983395,578116854,48311605,497196692,1,1940614121,1316764552,895053460,24466,29244158,29244158,23395326,1351690298,46360573,660547007,1,100678517,1,1957919361,1321589539,914011881,20189,21631550,21631550,17305240,ACT
ACT2927,0.624625,LLC2,24.64931507,Female,700000000,7,56,2844133800,143280800,71622000,1,890047800,1,2235404900,3942850700,2873997600,1,586634200,592989300,474391500,1262769400,118438400,90503600,1,44865600,1,2565047700,4080470300,2804488900,1,552746400,554758100,443806400,1090654350,84645500,94739744,98662504,158027099,1,1915463184,4265500656,2968197153,668992,598457741,598458041,478766433,854593644,101315500,147093249,204883127,144614907,1,2335261970,4373666693,3000116100,592874,610374882,610373482,488298786,ACT
ACT1630,0.624625,LLC2,25.36712329,Female,1000000000,3,55,248840600,1,614863500,2727272700,53515100,1775000000,3118138400,963472600,913598000,43900,-164286100,-208036700,-208036700,187792800,1,587668100,2727272700,210000,2145000000,2728400900,578591400,816433100,18800,-384785100,-389737400,-389737400,121499804,60199999,588449538,2727272727,2204628152,1,2675709057,753490773,688098741,4800,-52569532,-52691880,-52691880,82097978,1,566592268,2727272727,2298691963,1,2525447582,718081198,767984236,10829,-153261475,-150261475,-150261475,ACT
ACT1491,0.624625,SC,26.7890411,Male,2.00E+11,10,68,3035265800,25352800,438535300,8260303100,1,1,57071123900,1,1,19400,-75598600,-75598600,-75598600,2951588000,25352800,438535300,7701479500,1,1,56993494800,1,1,11100,-77629000,-77629000,-77629000,41703671292,1,1,1,1,1,41751056778,1,1,21062,-58744310,-37744310,-37744310,4455006,1,1,7253049036,7405923756,1,-94412200,1,1,32039,-7933812122,-49529848525,-49546948525,ACT
ACT1760,0.624625,LLC2,23.2630137,Female,1000000000,25,46,67968800,50940300,9440000,750346800,624235200,1,914255800,1,1,72400,-1026500,-1026500,-1026500,341575300,1319680800,1,627713500,624235200,1500000000,811936500,1463308500,1305323700,290300,-102319300,-102319300,-102319300,404549826,312552735,10766960,498326680,624235271,500000000,733314130,1166372299,979002240,389898,-78622400,-78622400,-78622400,133504249,214668300,4122211,371796688,824235271,1,579247671,117662000,57568749,642601,-154066459,-154066459,-154066459,ACT
ACT1944,0.624625,LLC2,26.86575342,Male,6060000000,250,74,12696900,8103541900,2785425900,5938778000,13219170700,1,4024215600,1,1,1100,-2441000,-2441000,-2441000,14555600,8103541900,2785425900,5938778000,13225670700,1,4019774000,1,1,16300,-4441500,-4441500,-4441500,12583332,8103541966,2785425940,5938778087,13226670720,1,4016801788,1,1,28874,-2545669,-2972269,-2972269,11985549,8103541966,2785425940,5938778087,13228670720,1,4014204005,1,1,2748,-2597783,-2597783,-2597783,ACT
ACT2935,0.624625,LLC2,25.71780822,Female,1000000000,5,68,166075700,1139452400,1,3195234000,6444499500,1,-1730875400,2167139300,924923000,374400,-461048600,-461048600,-461048600,44116200,1094586400,1,2879342000,6433678200,1,-2279664500,2243146300,853212900,205100,-548789100,-548789100,-548789100,239088731,1098872483,1,2638705613,6362326208,1,-2280518560,2163067259,603036468,201797,-854030,-854030,-854030,636875838,1154488944,1,2486951766,6488606855,1,854563870,2804215490,1270253849,469414,99800704,99800704,79840563,ACT
TER1865,0.624625,SC,11.77534247,Female,3.50E+11,4,68,2.47E+11,4499013700,12627600,13824656800,1228352900,1,3.35E+11,3941434900,1696604100,37998100,888677900,8007300,8007300,2.88E+11,378462000,12627600,12900134500,1615078700,1,3.35E+11,3842114800,1278850400,63583200,1241342800,1160302600,1160302600,9829578339,2.67E+11,12627682,3133223788,1862370875,1,3.34E+11,3928585350,697209103,13445570,1458496208,-1773212546,-1773212546,32577549889,2.67E+11,12627682,444675204,1727634099,1,3.35E+11,3114177150,435178304,198378,1929428157,1047671293,1043947910,TER
ACT1486,0.624625,SC,12.98082192,Male,35000000000,68,46,7500567600,7433960500,25378611100,10662388500,16299950500,1,35130315600,75305632700,55842576400,6268800,847821400,323251300,208702500,1001810500,9316137900,24297251300,14128385700,12675566800,2845552000,35529692700,74333425200,54648355200,10585300,649763400,553835100,431195200,1779716570,12202108030,23447806896,24162939806,22037969732,4018770000,35768058123,75248033868,55894841463,5357955,636679172,554264705,442965253,3933265581,17051354061,18003673360,23923713749,25459254987,3719000000,36220612073,78043176433,54405274399,13882750,1462771498,584305328,460353950,ACT
ACT2139,0.624625,LLC2,21.30958904,Male,15000000000,19,45,535703500,6379024500,7627013000,18317683200,18496314800,11300000000,6405450300,70879219500,62948342600,41052900,-1259777900,-1174425200,-1375129200,856821800,1953019300,6194606100,13374209700,24586546500,1,6774948100,54336184600,44709843600,4204400,744544800,759057100,488189900,1005436288,1896609104,5381432047,11267414845,21774026479,1,9317260035,60435951291,47212674212,1476157,3658802601,3712590092,2710527885,638656494,1356132322,10976289079,10430643839,22262176141,1,11779802592,63844779522,52122610827,107314633,2955952360,2946760187,2462542557,ACT
ACT1602,0.624625,LLC2,21.35342466,Female,4000000000,5,46,1961416500,3073759300,1050483100,4370325800,5895252000,4212850000,4554551500,16639761900,13518790600,2817700,773071200,61826100,48224300,1961416500,3073759300,1050483100,4370325800,5895252000,4212850000,4554551500,16639761900,13548790600,2817700,743071200,31826100,25460800,179119331,11154713697,2666861620,3074384190,17157292998,1,4634017472,21904616492,19337450825,465633,38605892,56605892,45284714,594353928,2732196564,1068821292,3332220988,8272323860,1,4343410445,21318686090,17655478588,501738,-89158483,-81986555,-81986555,ACT
ACT1224,0.624625,LLC1,10.25479452,Male,1000000000,37,47,438760700,3783867500,1277517000,292120500,6390773800,1,-19459900,4138898000,3725492500,653800,87568600,87568600,87568600,501715600,1967412300,1907628900,290682200,6563833000,1,-19848000,6890317000,4242190200,411900,4691200,-388100,-388100,682251999,905652284,2317883799,1209899238,6174377442,1,856951592,10049457072,7031883714,255849,92595790,89558000,89558000,494760024,3010204927,3736056971,728871623,9807449808,1,-851813937,7893371778,6051302298,265823,-71021017,-70744862,-70744862,ACT
ACT2984,0.6228,LLC2,19.71232877,Male,24000000000,3,46,1772082700,4547480500,3693681000,35773118700,1030294900,7161812700,39218346400,28908085700,25959173100,9282000,296796900,296796900,231501600,346800800,8051741700,4699322400,36668613600,4443520500,4697629300,41779649800,27277909300,24253073600,6168300,118287800,118287800,62451900,595926154,5634917690,8080176468,36226993311,2131253848,1846153850,47539163274,22014553698,19738361335,2222076,-341026700,118808187,48464598,1633258758,6401574433,9565045978,33495788511,1861327394,1,49744082470,21380013475,19112202153,1632296,304984599,304984599,205387679,ACT
ACT1732,0.624625,LLC2,19.53424658,Male,25000000000,100,25,649480100,6380375700,37011771600,14049866700,44385794700,1052215000,15195246600,44890880300,39202427700,6477500,329136700,209871200,161711800,411969700,2331960100,40474732800,20630071300,48834514400,2039816500,15311447500,50792829400,44194964300,8265700,182900600,176687100,140107000,1023644101,11643101132,49088000505,1,60460514741,1,25446455932,48880433583,42312040765,5230717,169253142,168858974,135008346,428459213,19001114830,36281730066,22625246345,58568002649,1,25267684321,70623237858,64592995967,1734139,307081489,297384094,234149614,ACT
ACT1243,0.624625,LLC2,19.61917808,Male,50000000000,8,46,7910415600,1.68E+11,1.19E+11,44824552900,88711411400,2.37E+11,18806923500,5.05E+11,4.13E+11,2681451900,2299322500,2444617200,1934389700,5063712400,1.54E+11,2.05E+11,50736720800,1.99E+11,1.97E+11,39618984200,5.34E+11,4.52E+11,886495200,588470500,2624408500,2001066800,3618339770,1.58E+11,2.46E+11,46424274090,2.65E+11,1.74E+11,39704014537,6.42E+11,5.37E+11,1790642891,3147814317,2949842904,2358666581,9781250468,1.02E+11,2.53E+11,66997562961,3.30E+11,35700000000,1.11E+11,6.88E+11,5.87E+11,2422463508,3753639800,3785204690,3165331552,ACT
ACT1064,0.624625,LLC2,19.38082192,Female,4800000000,10,27,16955700,1544825300,6800516000,6657000700,13140658000,346100000,4926080300,19227747200,17370713400,12450400,86997800,70608000,53014400,625917900,1220364500,8904944100,9023244200,13308116900,2186900000,4970344300,18399147100,15627246100,11424100,69625400,69625400,55700300,355701954,1849106352,9485158761,8322336004,15708084717,1,5037356730,20085811820,18181484977,164502,101696658,87351704,67012372,1719383649,1255602758,14335132118,7784338018,18685023574,1,7403718235,15235817727,12485860887,421293,167337066,57951881,46361505,ACT
ACT2755,0.624625,LLC2,19.12328767,Male,1.65E+11,15,10,17764628200,1.71E+11,5.41E+11,5602889300,8.36E+11,49560000000,53309220900,3.07E+12,3.01E+12,1598838900,-11336817700,-11699134000,-11699134000,5001035700,7.44E+11,5.49E+11,6971875300,2.77E+12,18250855000,1.75E+11,6.54E+12,6.38E+12,2655184700,17654721100,17654721100,16463603700,77080003625,9.96E+11,4.68E+11,12517686229,1.41E+12,1,1.48E+11,5.65E+12,5.50E+12,897073122,-25529082035,-25529082035,-25529082035,85197296040,2.68E+12,1.38E+12,10875383665,3.99E+12,1,1.77E+11,7.24E+12,7.04E+12,802364059,30208384433,30541316110,29342948295,ACT
